,experiment,iter,noise_lvl,num_neurons_updated,patterns_imprinted(m),avg_recall_ratio,avg_hamming,avg_resemblance,avg_steps
0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,100.0,0.0
1,0.0,0.0,0.0,0.1,2.0,1.0,0.0,100.0,0.0
2,0.0,0.0,0.0,0.1,3.0,1.0,0.0,100.0,0.0
3,0.0,0.0,0.0,0.1,4.0,0.75,12.75,97.36570247933884,0.5
4,0.0,0.0,0.0,0.1,5.0,0.4,31.0,93.59504132231406,1.4
5,0.0,0.0,0.0,0.1,6.0,0.16666666666666666,74.16666666666667,84.67630853994491,3.0
6,0.0,0.0,0.0,0.1,7.0,0.0,115.28571428571429,76.18063754427392,4.571428571428571
7,0.0,0.0,0.0,0.1,8.0,0.0,115.75,76.08471074380165,5.0
8,0.0,0.0,0.0,0.1,9.0,0.0,114.22222222222223,76.40036730945822,5.0
9,0.0,0.0,0.0,0.1,10.0,0.0,114.0,76.44628099173553,4.8
10,0.0,0.0,0.0,0.1,11.0,0.0,117.0909090909091,75.8076634109692,5.0
11,0.0,0.0,0.0,0.1,12.0,0.0,113.25,76.60123966942149,4.666666666666667
12,0.0,0.0,0.0,0.1,13.0,0.0,115.3076923076923,76.17609663064208,4.846153846153846
13,0.0,0.0,0.0,0.1,14.0,0.0,114.78571428571429,76.28394332939789,4.214285714285714
14,0.0,0.0,0.0,0.1,15.0,0.0,113.26666666666667,76.59779614325068,5.133333333333334
15,0.0,0.0,0.0,0.1,16.0,0.0,120.9375,75.0129132231405,5.8125
16,0.0,0.0,0.0,0.1,17.0,0.0,119.52941176470588,75.30384054448224,5.764705882352941
17,0.0,0.0,0.0,0.1,18.0,0.0,120.55555555555556,75.09182736455465,5.333333333333333
18,0.0,0.0,0.0,0.1,19.0,0.0,120.42105263157895,75.1196172248804,6.315789473684211
19,0.0,0.0,0.0,0.1,20.0,0.0,123.25,74.53512396694215,5.45
20,0.0,1.0,0.0,0.1,1.0,1.0,0.0,100.0,0.0
21,0.0,1.0,0.0,0.1,2.0,1.0,0.0,100.0,0.0
22,0.0,1.0,0.0,0.1,3.0,1.0,0.0,100.0,0.0
23,0.0,1.0,0.0,0.1,4.0,0.75,12.75,97.36570247933884,0.5
24,0.0,1.0,0.0,0.1,5.0,0.4,31.0,93.59504132231406,1.4
25,0.0,1.0,0.0,0.1,6.0,0.16666666666666666,74.16666666666667,84.67630853994491,3.0
26,0.0,1.0,0.0,0.1,7.0,0.0,115.28571428571429,76.18063754427392,4.571428571428571
27,0.0,1.0,0.0,0.1,8.0,0.0,115.75,76.08471074380165,5.0
28,0.0,1.0,0.0,0.1,9.0,0.0,114.22222222222223,76.40036730945822,5.0
29,0.0,1.0,0.0,0.1,10.0,0.0,114.0,76.44628099173553,4.8
30,0.0,1.0,0.0,0.1,11.0,0.0,117.0909090909091,75.8076634109692,5.0
31,0.0,1.0,0.0,0.1,12.0,0.0,113.25,76.60123966942149,4.666666666666667
32,0.0,1.0,0.0,0.1,13.0,0.0,115.3076923076923,76.17609663064208,4.846153846153846
33,0.0,1.0,0.0,0.1,14.0,0.0,114.78571428571429,76.28394332939789,4.214285714285714
34,0.0,1.0,0.0,0.1,15.0,0.0,113.26666666666667,76.59779614325068,5.133333333333334
35,0.0,1.0,0.0,0.1,16.0,0.0,120.9375,75.0129132231405,5.8125
36,0.0,1.0,0.0,0.1,17.0,0.0,119.52941176470588,75.30384054448224,5.764705882352941
37,0.0,1.0,0.0,0.1,18.0,0.0,120.55555555555556,75.09182736455465,5.333333333333333
38,0.0,1.0,0.0,0.1,19.0,0.0,120.42105263157895,75.1196172248804,6.315789473684211
39,0.0,1.0,0.0,0.1,20.0,0.0,123.25,74.53512396694215,5.45
40,0.0,2.0,0.0,0.1,1.0,1.0,0.0,100.0,0.0
41,0.0,2.0,0.0,0.1,2.0,1.0,0.0,100.0,0.0
42,0.0,2.0,0.0,0.1,3.0,1.0,0.0,100.0,0.0
43,0.0,2.0,0.0,0.1,4.0,0.75,12.75,97.36570247933884,0.5
44,0.0,2.0,0.0,0.1,5.0,0.4,31.0,93.59504132231406,1.4
45,0.0,2.0,0.0,0.1,6.0,0.16666666666666666,74.16666666666667,84.67630853994491,3.0
46,0.0,2.0,0.0,0.1,7.0,0.0,115.28571428571429,76.18063754427392,4.571428571428571
47,0.0,2.0,0.0,0.1,8.0,0.0,115.75,76.08471074380165,5.0
48,0.0,2.0,0.0,0.1,9.0,0.0,114.22222222222223,76.40036730945822,5.0
49,0.0,2.0,0.0,0.1,10.0,0.0,114.0,76.44628099173553,4.8
50,0.0,2.0,0.0,0.1,11.0,0.0,117.0909090909091,75.8076634109692,5.0
51,0.0,2.0,0.0,0.1,12.0,0.0,113.25,76.60123966942149,4.666666666666667
52,0.0,2.0,0.0,0.1,13.0,0.0,115.3076923076923,76.17609663064208,4.846153846153846
53,0.0,2.0,0.0,0.1,14.0,0.0,114.78571428571429,76.28394332939789,4.214285714285714
54,0.0,2.0,0.0,0.1,15.0,0.0,113.26666666666667,76.59779614325068,5.133333333333334
55,0.0,2.0,0.0,0.1,16.0,0.0,120.9375,75.0129132231405,5.8125
56,0.0,2.0,0.0,0.1,17.0,0.0,119.52941176470588,75.30384054448224,5.764705882352941
57,0.0,2.0,0.0,0.1,18.0,0.0,120.55555555555556,75.09182736455465,5.333333333333333
58,0.0,2.0,0.0,0.1,19.0,0.0,120.42105263157895,75.1196172248804,6.315789473684211
59,0.0,2.0,0.0,0.1,20.0,0.0,123.25,74.53512396694215,5.45
60,0.0,3.0,0.0,0.1,1.0,1.0,0.0,100.0,0.0
61,0.0,3.0,0.0,0.1,2.0,1.0,0.0,100.0,0.0
62,0.0,3.0,0.0,0.1,3.0,1.0,0.0,100.0,0.0
63,0.0,3.0,0.0,0.1,4.0,0.75,12.75,97.36570247933884,0.5
64,0.0,3.0,0.0,0.1,5.0,0.4,31.0,93.59504132231406,1.4
65,0.0,3.0,0.0,0.1,6.0,0.16666666666666666,74.16666666666667,84.67630853994491,3.0
66,0.0,3.0,0.0,0.1,7.0,0.0,115.28571428571429,76.18063754427392,4.571428571428571
67,0.0,3.0,0.0,0.1,8.0,0.0,115.75,76.08471074380165,5.0
68,0.0,3.0,0.0,0.1,9.0,0.0,114.22222222222223,76.40036730945822,5.0
69,0.0,3.0,0.0,0.1,10.0,0.0,114.0,76.44628099173553,4.8
70,0.0,3.0,0.0,0.1,11.0,0.0,117.0909090909091,75.8076634109692,5.0
71,0.0,3.0,0.0,0.1,12.0,0.0,113.25,76.60123966942149,4.666666666666667
72,0.0,3.0,0.0,0.1,13.0,0.0,115.3076923076923,76.17609663064208,4.846153846153846
