,noise_lvl,iter,1_patterns,2_patterns,3_patterns,4_patterns,5_patterns,6_patterns,7_patterns,8_patterns,9_patterns
0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.75,0.7777777777777778
1,0.1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.875,0.8888888888888888
2,0.1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.7777777777777778
3,0.1,4.0,1.0,1.0,1.0,1.0,0.8,1.0,0.8571428571428571,1.0,0.6666666666666666
4,0.1,5.0,1.0,1.0,1.0,1.0,0.8,1.0,0.7142857142857143,0.75,0.6666666666666666
5,0.1,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.6666666666666666
6,0.1,7.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.875,1.0
7,0.1,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.4444444444444444
8,0.1,9.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.875,0.7777777777777778
9,0.1,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8888888888888888
10,0.1,11.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.75,0.8888888888888888
11,0.1,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666
12,0.1,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7777777777777778
13,0.1,14.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.875,1.0
14,0.1,15.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.875,0.7777777777777778
15,0.1,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.3333333333333333
16,0.1,17.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.8888888888888888
17,0.1,18.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.625,0.7777777777777778
18,0.1,19.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.875,0.5555555555555556
19,0.1,20.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8571428571428571,0.75,0.4444444444444444
20,0.2,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.625,0.4444444444444444
21,0.2,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333
22,0.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,0.75,0.4444444444444444
23,0.2,4.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8571428571428571,0.5,0.5555555555555556
24,0.2,5.0,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,0.8571428571428571,0.875,0.1111111111111111
25,0.2,6.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.375,0.1111111111111111
26,0.2,7.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.8571428571428571,0.875,0.6666666666666666
27,0.2,8.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.42857142857142855,0.625,0.4444444444444444
28,0.2,9.0,1.0,1.0,1.0,1.0,0.6,1.0,0.8571428571428571,0.25,0.7777777777777778
29,0.2,10.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.8571428571428571,0.25,0.2222222222222222
30,0.2,11.0,1.0,1.0,1.0,1.0,0.8,1.0,0.5714285714285714,0.125,0.1111111111111111
31,0.2,12.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,0.4444444444444444
32,0.2,13.0,1.0,1.0,1.0,1.0,0.8,0.8333333333333334,1.0,0.25,0.5555555555555556
33,0.2,14.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,0.75,0.7777777777777778
34,0.2,15.0,1.0,1.0,1.0,1.0,0.6,0.8333333333333334,0.8571428571428571,0.625,0.2222222222222222
35,0.2,16.0,1.0,1.0,1.0,0.75,1.0,0.5,0.2857142857142857,0.5,0.8888888888888888
36,0.2,17.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.875,0.5555555555555556
37,0.2,18.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5714285714285714,0.375,0.8888888888888888
38,0.2,19.0,1.0,1.0,1.0,1.0,0.8,1.0,0.7142857142857143,0.75,0.3333333333333333
39,0.2,20.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.7142857142857143,0.5,0.5555555555555556
40,0.30000000000000004,1.0,1.0,1.0,1.0,0.75,0.2,0.8333333333333334,0.42857142857142855,0.5,0.3333333333333333
41,0.30000000000000004,2.0,1.0,1.0,0.6666666666666666,0.75,0.8,0.5,0.7142857142857143,0.125,0.1111111111111111
42,0.30000000000000004,3.0,1.0,1.0,1.0,1.0,0.6,0.5,0.5714285714285714,0.375,0.3333333333333333
43,0.30000000000000004,4.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.42857142857142855,0.375,0.3333333333333333
44,0.30000000000000004,5.0,1.0,1.0,0.6666666666666666,0.75,1.0,0.8333333333333334,0.7142857142857143,0.25,0.3333333333333333
45,0.30000000000000004,6.0,1.0,1.0,0.6666666666666666,1.0,0.8,0.6666666666666666,0.8571428571428571,0.375,0.1111111111111111
46,0.30000000000000004,7.0,1.0,1.0,1.0,1.0,0.8,0.3333333333333333,0.5714285714285714,0.5,0.2222222222222222
47,0.30000000000000004,8.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,0.42857142857142855,0.375,0.2222222222222222
48,0.30000000000000004,9.0,1.0,1.0,1.0,0.75,0.6,0.6666666666666666,0.5714285714285714,0.125,0.3333333333333333
49,0.30000000000000004,10.0,1.0,1.0,1.0,1.0,0.6,0.5,0.42857142857142855,0.625,0.1111111111111111
50,0.30000000000000004,11.0,1.0,1.0,1.0,1.0,0.8,1.0,0.2857142857142857,0.625,0.3333333333333333
51,0.30000000000000004,12.0,1.0,1.0,1.0,1.0,0.6,0.5,0.42857142857142855,0.375,0.4444444444444444
52,0.30000000000000004,13.0,1.0,1.0,1.0,0.5,0.8,0.8333333333333334,0.2857142857142857,0.125,0.0
53,0.30000000000000004,14.0,1.0,0.5,0.6666666666666666,1.0,0.8,0.6666666666666666,0.5714285714285714,0.25,0.2222222222222222
54,0.30000000000000004,15.0,1.0,1.0,1.0,0.75,1.0,0.6666666666666666,0.7142857142857143,0.5,0.0
55,0.30000000000000004,16.0,1.0,1.0,0.6666666666666666,0.75,0.8,0.6666666666666666,0.7142857142857143,0.375,0.1111111111111111
